label,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision,decision_reasons
train36_abs_form_points_bucket_n20_profit1_roi0p05_pm3_ev0p02,206,206,446.7,21.68,90.0,44,32,9,0,2025-26,27,108.2,20,6,18,6,0.3333,RESEARCH_ONLY_UNSTABLE,['active_pass_rate<0.6']
train36_abs_form_points_bucket_season_points_delta_bucket_n12_profit1_roi0p05_pm3_ev0p02,158,158,396.1,25.07,80.0,36,34,6,3,2025-26,17,71.4,20,3,18,3,0.1667,RESEARCH_ONLY_UNSTABLE,"['latest_season_bets<20', 'active_pass_rate<0.6']"
train48_abs_form_points_bucket_predicted_ev_bucket_n10_profit1_roi0p05_pm3_ev0p02,144,144,84.2,5.85,124.9,29,33,6,3,2025-26,21,30.2,20,3,18,3,0.1667,RESEARCH_ONLY_UNSTABLE,"['drawdown>profit', 'positive_months<=negative_months', 'active_pass_rate<0.6']"
