test_month,candidate_id,match_key,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,consensus_home_probability,consensus_draw_probability,consensus_away_probability,consensus_entropy,consensus_favorite_probability,selected_vs_favorite_probability,home_away_probability_gap,consensus_max_dispersion,execution_quote_advantage_pct,execution_book_overround,execution_selected_probability_gap,execution_nonselected_mean_absolute_gap,execution_selection_specificity,consensus_favorite_outcome,predicted_closing_edge_pct,lower_closing_edge_pct,predicted_positive_clv_probability,stake,estimated_probability_from_lower_clv,estimated_probability_from_unshrunk_training_market,estimated_probability_from_training_market,market_calibration_weight,estimated_probability_from_training_market_logistic,estimated_probability_from_validated_market_residual,outcome_probability_weight,staking_probability_profile,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2021-12,data\historical_csv\football-data\2122\B1.csv:146:home,data\historical_csv\football-data\2122\B1.csv:146,data\historical_csv\football-data\2122\B1.csv,146,2021-12-03,B1,St Truiden,St. Gilloise,home,0.2491322587215617,0.23960760899493816,4.43,4.5,6.1461707847575875,0.007524649726623528,5,0.0,WH,4.0-5.0,sportsbook,0.22573363431151244,1.1036559061365183,0.009524649726623535,0.030203433972126915,1.4883995840570443,0.06206688233570715,0.3708083502563644,0.2,1.5801354401805856,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,0.2491322587215617,0.2780991634364587,0.4727685778419797,1.0563161756054789,0.4727685778419797,-0.22363631912041798,0.22363631912041798,0.007524649726623528,12.5,0.0771241830065359,0.04282157910991122,0.051937137457433724,-0.009115558347522507,away,9.93793405247179,9.93793405247179,0.8818833638237897,0.29,0.24816689402363837,0.23605987868330047,0.24370240972005536,0.36875184990543,,,0.0,lower_clv,True,0.210824674735707,4.743277803006764,-6.604669092081794,False,away,False,-0.29
2021-12,data\historical_csv\football-data\2122\I2.csv:152:draw,data\historical_csv\football-data\2122\I2.csv:152,data\historical_csv\football-data\2122\I2.csv,152,2021-12-03,I2,Perugia,Vicenza,draw,0.3056384926809314,0.29601322776900135,3.254,3.3,-3.6772956839669635,0.007625264911930047,5,0.0,WH,3.0-4.0,sportsbook,0.3073140749846343,0.9945476551837508,0.009625264911930054,0.024948640614748663,1.179885008796846,0.09341488820827176,0.3606182756254955,0.2,1.41364474492931,draw:3.0-4.0,draw:sportsbook,sportsbook:3.0-4.0,0.47373966365544373,0.3056384926809314,0.22062184366362483,1.0496458549433192,0.47373966365544373,-0.16810117097451233,0.2531178199918189,0.007625264911930047,6.451612903225801,0.07170061268421923,0.022882003187729927,0.0247080862958087,-0.0018260831080787743,home,2.6815516317229138,2.6815516317229138,0.48293209937907333,0.12,0.31555486057689897,0.2956211817779926,0.3082042796443816,0.36875184990543,,,0.0,lower_clv,True,0.2906657323190039,3.4403780315682555,-5.417370703396129,False,home,False,-0.12
2021-12,data\historical_csv\football-data\2122\F2.csv:168:home,data\historical_csv\football-data\2122\F2.csv:168,data\historical_csv\football-data\2122\F2.csv,168,2021-12-03,F2,Rodez,Nimes,home,0.42466599764592233,0.4173088211150252,2.323,2.35,-3.059160854979648,0.005357176530897117,5,0.0,WH,2.0-3.0,sportsbook,0.4304778303917348,0.9864991125314776,0.007357176530897125,0.01261503525263122,0.8428594537882721,0.1803412095566065,0.35793375081829376,0.2,1.162290142057687,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,0.42466599764592233,0.3123349918170009,0.26299901053707675,1.0784266324712495,0.42466599764592233,0.0,0.16166698710884558,0.006741544129126522,3.070175438596512,0.08144589338824071,0.031181758170568008,0.01969654997992401,0.011485208190643997,home,2.3898470520982658,2.3898470520982658,0.5059336662092926,0.18,0.44076559213128824,0.42353031475347497,0.4344100517145864,0.36875184990543,,,0.0,lower_clv,True,0.4389652231306872,2.2780847942076803,1.971621333258633,True,home,True,0.24
2021-12,data\historical_csv\football-data\2122\SP2.csv:200:home,data\historical_csv\football-data\2122\SP2.csv:200,data\historical_csv\football-data\2122\SP2.csv,200,2021-12-03,SP2,Huesca,Valladolid,home,0.34551331283634235,0.33925184885376264,2.8423999999999996,2.88,-3.5710544818065237,0.004261463982579722,5,0.0,WH,2.0-3.0,sportsbook,0.3518153672952435,0.9820870404060194,0.006261463982579707,0.01233371862750258,1.0446487657246801,0.11937944934714417,0.3609400557959303,0.2,1.3228257810301347,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,0.34551331283634235,0.29888539439048767,0.3556012927731699,1.095819973270447,0.3556012927731699,-0.01008797993682753,0.01008797993682753,0.007314156253618126,2.127659574468077,0.07796613268963482,0.023404656828878045,0.011702328414439134,0.011702328414438912,away,1.934869838911625,1.934869838911625,0.48661895876240363,0.11,0.35862253672569533,0.3381949111173219,0.3510898119934321,0.36875184990543,,,0.0,lower_clv,True,0.3386455346528686,2.952940162122788,-3.7433932302686324,False,home,True,0.2
2021-12,data\historical_csv\football-data\2122\G1.csv:79:away,data\historical_csv\football-data\2122\G1.csv:79,data\historical_csv\football-data\2122\G1.csv,79,2021-12-04,G1,Atromitos,Apollon,away,0.23119820224791787,0.21964916130849998,4.92,5.0,8.067387363781986,0.009549040939417873,5,0.0,IW,4.0-5.0,sportsbook,0.2032520325203252,1.1374951550597558,0.011549040939417887,0.0413024013447054,1.5933085305042167,0.05345260872266914,0.36837006787884674,0.2,1.6260162601626105,away:4.0-5.0,away:sportsbook,sportsbook:4.0-5.0,0.47295342322265616,0.29584837452942586,0.23119820224791787,1.053029119294055,0.47295342322265616,-0.24175522097473828,0.24175522097473828,0.01665626412606315,11.111111111111116,0.048896434634974506,0.04052160788080875,0.020260803940404443,0.020260803940404304,home,4.307016007796996,4.307016007796996,0.8488029107115214,0.11,0.21200613009714836,0.21739817065028205,0.2139944550258815,0.36875184990543,,,0.0,lower_clv,True,0.22778802035245413,4.390046493457865,12.071706013407436,True,home,False,-0.11
2021-12,data\historical_csv\football-data\2122\B1.csv:148:away,data\historical_csv\football-data\2122\B1.csv:148,data\historical_csv\football-data\2122\B1.csv,148,2021-12-04,B1,Kortrijk,Cercle Brugge,away,0.3589948694366981,0.3533606531910575,2.862,2.9,1.1318189432806713,0.003634216245640575,5,0.0,WH,2.0-3.0,sportsbook,0.3494060097833683,1.02744331632783,0.005634216245640589,0.010123309704517656,1.0515206811342592,0.12887731628187193,0.37749052963378127,0.2,1.3277428371767819,away:2.0-3.0,away:sportsbook,sportsbook:2.0-3.0,0.37227182829925926,0.2687333022640426,0.3589948694366981,1.0887497937995145,0.37227182829925926,-0.013276958862561139,0.013276958862561139,0.005808388613666065,7.407407407407396,0.08338967771016459,0.040709036276723065,0.02035451813836156,0.020354518138361505,home,2.920487947904089,2.920487947904089,0.5209096857487944,0.16,0.35961037018834413,0.3526655376839716,0.3570494503550734,0.36875184990543,,,0.0,lower_clv,True,0.38355788215624054,2.6071684262576427,9.77426587311605,True,away,True,0.3
2021-12,data\historical_csv\football-data\2122\I2.csv:155:home,data\historical_csv\football-data\2122\I2.csv:155,data\historical_csv\football-data\2122\I2.csv,155,2021-12-04,I2,Crotone,Spal,home,0.39848198002626994,0.3880858713852385,2.4699999999999998,2.5,-4.1427897678461,0.008396108641031444,5,0.0,WH,2.0-3.0,sportsbook,0.40485829959514175,0.9842504906648867,0.010396108641031465,0.021070234193470757,0.9042181506398858,0.1587878884056566,0.3603146390426737,0.2,1.2145748987854255,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,0.39848198002626994,0.29077839591128063,0.3107396240624494,1.0890006145939113,0.39848198002626994,0.0,0.08774235596382052,0.011935831239744198,2.0408163265306145,0.06740823136818697,0.023742505245111123,0.011871252622555534,0.01187125262255559,home,2.1753005288840077,2.1753005288840077,0.5224348781600207,0.15,0.4136651843274657,0.3952158763821919,0.40686196789317103,0.36875184990543,,,0.0,lower_clv,True,0.4167022946685407,2.399794800255262,2.925466783129549,True,away,False,-0.15
2021-12,data\historical_csv\football-data\2122\B1.csv:153:draw,data\historical_csv\football-data\2122\B1.csv:153,data\historical_csv\football-data\2122\B1.csv,153,2021-12-05,B1,Standard,Charleroi,draw,0.2705801500737049,0.25399791538039773,4.038,4.1,2.564358230604613,0.014582234693307154,5,0.0,BW,4.0-5.0,sportsbook,0.24764735017335313,1.0926026459976204,0.016582234693307163,0.05389247766081516,1.3957495198906458,0.07321361761390867,0.37766211455731247,0.2,1.535413571074784,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,0.4239261321011444,0.2705801500737049,0.3054937178251507,1.0797729808052612,0.4239261321011444,-0.1533459820274395,0.11843241427599366,0.014582234693307154,5.670103092783507,0.05989591107661374,0.04046091244343539,0.020230456221717735,0.020230456221717652,home,6.327666792086124,6.327666792086124,0.8437964701036119,0.21,0.2633176493117536,0.25854210721805654,0.26155665933040156,0.36875184990543,,,0.0,lower_clv,True,0.27815894427708326,3.595066851432493,12.32058169908623,True,away,False,-0.21
2021-12,data\historical_csv\football-data\2122\I2.csv:162:home,data\historical_csv\football-data\2122\I2.csv:162,data\historical_csv\football-data\2122\I2.csv,162,2021-12-10,I2,Cremonese,Crotone,home,0.5471061763299465,0.5330356378786342,1.9604,1.98,4.49630644972745,0.012070538451312295,5,0.0,BW,1.5-2.0,sportsbook,0.5100999795960008,1.0725469480772272,0.014070538451312342,0.022062515419370526,0.6731485340532554,0.2993251681783745,0.36828372056798536,0.2,0.9997959600081652,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.5471061763299465,0.25708740266775676,0.19580642100229662,0.9984659810958169,0.5471061763299465,0.0,0.3512997553276499,0.012070538451312295,13.142857142857146,0.06943842237959874,0.07484849932716847,0.03742424966358432,0.03742424966358415,home,7.9223759262429,7.9223759262429,0.8437006278176424,0.82,0.5505120175792844,0.5560907090920988,0.5525691703946864,0.36875184990543,,,0.0,lower_clv,True,0.5471942588407068,1.8275045540839803,7.271962503132157,True,home,True,0.79
2021-12,data\historical_csv\football-data\2122\B1.csv:155:home,data\historical_csv\football-data\2122\B1.csv:155,data\historical_csv\football-data\2122\B1.csv,155,2021-12-10,B1,Charleroi,Oostende,home,0.623357775096403,0.6113069165639192,1.588,1.6,-2.9244616496496234,0.010050858532483819,5,0.0,BW,1.5-2.0,sportsbook,0.6297229219143576,0.989892146853088,0.012050858532483777,0.01612373974308645,0.462475362824944,0.38857491577313774,0.2882876132074588,0.2,0.7556675062972307,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.623357775096403,0.21250833241922829,0.1641338924843688,0.9203497663325513,0.623357775096403,0.0,0.4592238826120342,0.012765603269935259,1.9108280254777066,0.059378629500580704,0.03338929489906162,0.01669464744953078,0.016694647449530836,home,1.5030105853994655,1.5030105853994655,0.5662961173065916,0.26,0.6391877240894172,0.6379178600919481,0.6387194593912221,0.36875184990543,,,0.0,lower_clv,True,0.6218286844109601,1.608159972464555,-1.2536049155395412,False,home,True,0.15
