label,bets,wins,hit_rate,wilson_hit_rate_lower_95,avg_odds,avg_implied_probability,edge_vs_implied_probability,conservative_edge_vs_implied,staked,profit,roi_pct,decision,decision_reasons
"[2.8,3.3)",703,245,0.3485,0.3142,3.1039,0.3226,0.0259,-0.0084,7030.0,550.7,7.83,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
"[3.3,3.5)",168,58,0.3452,0.2775,3.3848,0.2955,0.0497,-0.018,1680.0,276.9,16.48,POSITIVE_EDGE_BUT_NOT_CONSERVATIVE,['wilson_lower<=average_implied_probability']
