league,odds_source,rule_spec,label,candidate_count,selected_candidates,train_months,min_train_rows,min_predicted_ev,ridge,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,latest_season,latest_season_bets,latest_season_profit,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate,decision_reasons,decision
FIN,AVG_CLOSE,FIN_away_prob0p28_0p34,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,476,62,30,120,0.02,10.0,62,45.9,7.4,98.3,14,12,3,3,2025-26,2,7.7,11,2,11,2,0.1818,"['bets<150', 'drawdown>profit', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_home_prob0p55_1p00,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,579,92,30,120,0.02,10.0,92,63.0,6.85,50.0,20,14,3,3,2025-26,9,-11.6,11,2,11,2,0.1818,"['bets<150', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,MAX_CLOSE,FIN_home_prob0p55_1p00,MAX_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,625,128,30,120,0.02,10.0,128,54.7,4.27,47.9,21,17,3,3,2025-26,13,-0.5,11,2,11,2,0.1818,"['bets<150', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,MAX_CLOSE,FIN_away_prob0p28_0p34,MAX_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,436,84,30,120,0.02,10.0,84,29.1,3.46,140.5,19,15,3,3,2025-26,9,32.3,11,1,11,1,0.0909,"['bets<150', 'drawdown>profit', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_draw_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,1532,102,30,120,0.02,10.0,102,-85.0,-8.33,312.7,11,17,2,4,2025-26,2,13.3,11,1,11,1,0.0909,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,MAX_CLOSE,FIN_draw_odds2p8_3p5,MAX_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,804,66,30,120,0.02,10.0,66,-89.4,-13.55,150.0,10,17,1,4,2024-25,7,-70.0,11,0,11,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
WORLD_CUP,MAX_CLOSE,WORLD_CUP_odds4p0_5p0,MAX_CLOSE_rulesworld_train30_n120_ev0p02_top1_ridge10_cap0.08,337,32,30,120,0.02,10.0,32,-56.7,-17.72,150.0,4,4,0,3,2025-26,15,-20.0,11,0,4,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,MAX_CLOSE,FIN_away_odds2p8_3p5,MAX_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,103,20,30,120,0.02,10.0,20,-85.7,-42.85,85.7,3,10,1,4,2024-25,5,-21.5,11,0,11,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
WORLD_CUP,AVG_CLOSE,WORLD_CUP_odds4p0_5p0,AVG_CLOSE_rulesworld_train30_n120_ev0p02_top1_ridge10_cap0.08,337,24,30,120,0.02,10.0,24,-118.2,-49.25,139.8,1,5,0,2,2025-26,11,-28.4,11,0,3,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
FIN,AVG_CLOSE,FIN_away_odds2p8_3p5,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08,110,16,30,120,0.02,10.0,16,-125.1,-78.19,125.1,1,13,0,6,2025-26,1,-10.0,11,0,11,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
WORLD_CUP,MAX_CLOSE,WORLD_CUP_home_prob0p00_0p20,MAX_CLOSE_rulesworld_train30_n120_ev0p02_top1_ridge10_cap0.08,300,14,30,120,0.02,10.0,14,-140.0,-100.0,140.0,0,7,0,3,2025-26,4,-40.0,11,0,4,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
WORLD_CUP,AVG_CLOSE,WORLD_CUP_home_prob0p00_0p20,AVG_CLOSE_rulesworld_train30_n120_ev0p02_top1_ridge10_cap0.08,277,17,30,120,0.02,10.0,17,-170.0,-100.0,170.0,0,7,0,3,2025-26,1,-10.0,11,0,4,0,0.0,"['bets<150', 'profit<=0', 'roi<3%', 'drawdown>profit', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'latest_season_bets<20', 'latest_season_profit<0', 'active_pass_rate<0.6']",REJECT_RESEARCH_GATES
