bet_date,settlement_date,league,home_team,away_team,outcome,actual_result,odds,stake,won,profit,rule_label,month,season
2021-06-19,2021-06-20,FIN,KuPS,Honka,home,home,1.61,10.0,True,6.1,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-06,2020-21
2021-06-30,2021-07-01,FIN,SJK,Mariehamn,home,home,1.67,10.0,True,6.7,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-06,2020-21
2021-07-11,2021-07-12,FIN,Honka,AC Oulu,home,home,1.62,10.0,True,6.2,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-07,2021-22
2021-07-23,2021-07-24,FIN,HIFK,KTP,home,draw,1.44,10.0,False,-10.0,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-07,2021-22
2021-07-24,2021-07-25,FIN,HJK,Haka,home,home,1.34,10.0,True,3.4,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-07,2021-22
2021-07-25,2021-07-26,FIN,KuPS,Ilves,home,home,1.54,10.0,True,5.4,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-07,2021-22
2021-07-30,2021-07-31,FIN,Lahti,KTP,home,home,1.46,10.0,True,4.6,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-07,2021-22
2021-07-31,2021-08-01,FIN,HJK,SJK,home,draw,1.57,10.0,False,-10.0,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-07,2021-22
2021-08-08,2021-08-09,FIN,KuPS,Lahti,home,draw,1.68,10.0,False,-10.0,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-08,2021-22
2021-08-15,2021-08-16,FIN,KuPS,KTP,home,home,1.21,10.0,True,2.1,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-08,2021-22
2021-08-21,2021-08-22,FIN,Inter Turku,Ilves,home,home,1.67,10.0,True,6.7,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-08,2021-22
2021-09-11,2021-09-12,FIN,Honka,KTP,home,home,1.3,10.0,True,3.0,AVG_CLOSE_rulesfin_train30_n120_ev0p02_top1_ridge10_cap0.08|FIN_home_prob0p55_1p00,2021-09,2021-22
