date,bets,staked,profit,equity,drawdown,risk_status,stake_multiplier,effective_budget,current_drawdown_fraction,rolling_max_drawdown_fraction
2022-09-01,0,0.0,0.0,1000000.0,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-02,5,50.0,11.5,1000011.5,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-03,8,80.0,31.7,1000043.2,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-04,8,80.0,4.5,1000047.7,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-05,2,20.0,1.5,1000049.2,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-06,0,0.0,0.0,1000049.2,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-07,1,10.0,-10.0,1000039.2,10.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-09,4,40.0,20.9,1000060.1,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-10,7,70.0,50.6,1000110.7,0.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-11,7,70.0,-28.9,1000081.8,28.9,NORMAL,1.0,100.0,0.0,0.0
2022-09-12,2,20.0,3.2,1000085.0,25.7,NORMAL,1.0,100.0,0.0,0.0
2022-09-13,6,60.0,5.7,1000090.7,20.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-14,1,10.0,-10.0,1000080.7,30.0,NORMAL,1.0,100.0,0.0,0.0
2022-09-16,3,30.0,-6.9,1000073.8,36.9,NORMAL,1.0,100.0,0.0,0.0
2022-09-17,10,100.0,33.5,1000107.3,3.4,NORMAL,1.0,100.0,0.0,0.0
2022-09-18,7,70.0,-49.3,1000058.0,52.7,NORMAL,1.0,100.0,0.0,0.0
2022-09-19,1,10.0,11.3,1000069.3,41.4,NORMAL,1.0,100.0,0.0001,0.0001
2022-09-23,0,0.0,0.0,1000069.3,41.4,NORMAL,1.0,100.0,0.0,0.0001
2022-09-24,1,10.0,7.0,1000076.3,34.4,NORMAL,1.0,100.0,0.0,0.0001
2022-09-25,0,0.0,0.0,1000076.3,34.4,NORMAL,1.0,100.0,0.0,0.0001
2022-09-26,0,0.0,0.0,1000076.3,34.4,NORMAL,1.0,100.0,0.0,0.0001
2022-09-27,1,10.0,-10.0,1000066.3,44.4,NORMAL,1.0,100.0,0.0,0.0001
2022-09-30,1,10.0,8.5,1000074.8,35.9,NORMAL,1.0,100.0,0.0,0.0001
