market_candidates,rule,odds_source,bets,profit,roi_pct,active_months
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)",PS_CLOSE,505,73.14,14.48,127
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|odds_bucket|market_prob_bucket=NOR|[2.2,2.8)|[0.42,0.55)",PS_CLOSE,307,12.59,4.1,102
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|odds_bucket|market_prob_bucket=AUT|[4.0,5.0)|[0.20,0.28)",PS_CLOSE,915,126.92,13.87,131
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|outcome|odds_bucket=JPN|away|[2.8,3.5)",PS_CLOSE,1063,90.77,8.54,139
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|outcome|market_prob_bucket=FIN|away|[0.28,0.34)",PS_CLOSE,428,21.47,5.02,93
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|outcome|market_prob_bucket=SWZ|away|[0.42,0.55)",PS_CLOSE,381,20.75,5.45,130
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|outcome|market_prob_bucket=NOR|home|[0.42,0.55)",PS_CLOSE,1000,6.88,0.69,121
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,league|outcome|favorite_relation=SWE|away|market_favorite,PS_CLOSE,1114,28.05,2.52,112
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|market_prob_bucket=BRA|[0.42,0.55)",PS_CLOSE,2059,33.02,1.6,118
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|market_prob_bucket|favorite_relation=BRA|[0.42,0.55)|market_favorite",PS_CLOSE,2059,33.02,1.6,118
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|outcome|odds_bucket=FIN|away|[2.8,3.5)",PS_CLOSE,481,28.34,5.89,95
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|outcome|odds_bucket=AUT|away|[1.8,2.2)",PS_CLOSE,282,19.67,6.98,106
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|outcome|odds_bucket=SWZ|away|[1.8,2.2)",PS_CLOSE,284,2.32,0.82,120
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|odds_bucket=USA|[1.8,2.2)",PS_CLOSE,2063,11.31,0.55,135
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|odds_bucket|favorite_relation=USA|[1.8,2.2)|market_favorite",PS_CLOSE,2063,11.31,0.55,135
reports\market_bias_diagnostics_worldwide_ps_close\market_candidates.csv,"league|odds_bucket|market_prob_bucket=USA|[1.8,2.2)|[0.42,0.55)",PS_CLOSE,2063,11.31,0.55,135
