month,train_window,selected_strategy,selection_reason,matches,bets,active_days,staked,profit,roi_pct,max_drawdown,outcome_counts,available_capacity,clv_positions,average_closing_edge_pct,positive_clv_rate
2024-08,2024-02-01..2024-07-31,ABSTAIN,no candidate passed clv_stability in both training halves,552,0,0,0.0,0.0,0.0,0.0,{},3100.0,,,
2024-09,2024-03-01..2024-08-31,ABSTAIN,no candidate passed clv_stability in both training halves,618,0,0,0.0,0.0,0.0,0.0,{},3000.0,,,
2024-10,2024-04-01..2024-09-30,ABSTAIN,no candidate passed clv_stability in both training halves,645,0,0,0.0,0.0,0.0,0.0,{},3100.0,,,
2024-11,2024-05-01..2024-10-31,ABSTAIN,no candidate passed clv_stability in both training halves,615,0,0,0.0,0.0,0.0,0.0,{},3000.0,,,
2025-01,2024-07-01..2024-12-31,RC-A-balanced,fixed prior-six-month two-half rule,672,3,2,0.4,0.35,87.5,0.23,"{'away': 2, 'draw': 1}",3100.0,3.0,1.3796,0.6667
2025-02,2024-08-01..2025-01-31,RC-A-balanced,fixed prior-six-month two-half rule,719,8,6,2.77,0.81,29.24,1.34,"{'away': 4, 'draw': 3, 'home': 1}",2800.0,8.0,3.4628,0.875
2025-03,2024-09-01..2025-02-28,RC-A-balanced,fixed prior-six-month two-half rule,704,4,3,1.0,-1.0,-100.0,1.0,"{'away': 3, 'draw': 1}",3100.0,4.0,10.0786,0.75
2025-04,2024-10-01..2025-03-31,RC-A-balanced,fixed prior-six-month two-half rule,753,1,1,0.47,0.3,63.83,0.0,{'home': 1},3000.0,1.0,-0.9985,0.0
2025-05,2024-11-01..2025-04-30,ABSTAIN,no candidate passed clv_stability in both training halves,516,0,0,0.0,0.0,0.0,0.0,{},3100.0,,,
2025-08,2025-02-01..2025-07-31,ABSTAIN,no candidate passed clv_stability in both training halves,608,0,0,0.0,0.0,0.0,0.0,{},3100.0,,,
2025-09,2025-03-01..2025-08-31,ABSTAIN,no candidate passed clv_stability in both training halves,588,0,0,0.0,0.0,0.0,0.0,{},3000.0,,,
2025-10,2025-04-01..2025-09-30,RC-A-balanced,fixed prior-six-month two-half rule,615,23,11,7.85,-3.39,-43.18,3.39,"{'away': 17, 'draw': 2, 'home': 4}",3100.0,23.0,3.4412,0.6087
2025-11,2025-05-01..2025-10-31,RC-A-balanced,fixed prior-six-month two-half rule,674,22,10,9.88,2.44,24.7,3.34,"{'away': 18, 'home': 3, 'draw': 1}",3000.0,22.0,9.4353,0.7273
2026-01,2025-07-01..2025-12-31,RC-B-v3-default,fixed prior-six-month two-half rule,726,8,7,3.69,0.57,15.45,1.92,{'away': 8},3100.0,8.0,9.1541,0.875
2026-02,2025-08-01..2026-01-31,RC-B-v3-default,fixed prior-six-month two-half rule,750,4,3,1.2,0.91,75.83,0.46,{'away': 4},2800.0,4.0,10.894,0.75
2026-03,2025-09-01..2026-02-28,RC-B-v3-default,fixed prior-six-month two-half rule,669,11,7,3.15,-1.61,-51.11,1.89,{'away': 11},3100.0,11.0,11.2343,0.9091
