columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
league|odds_bucket,"RUS|[2.2,2.8)",1209,28.79,2.38,127,66,61,2025-10,1.47,10.2619
league|market_prob_bucket,"SWE|[0.28,0.34)",1702,32.27,1.9,113,59,54,2025-10,-6.86,10.2086
league|outcome|market_prob_bucket,"DNK|home|[0.42,0.55)",773,14.17,1.83,131,68,63,2025-10,-0.28,10.2016
league|outcome|odds_bucket,"RUS|away|[1.8,2.2)",310,16.3,5.26,106,55,51,2025-10,-0.04,8.5784
league|odds_bucket,"BRA|[1.8,2.2)",1486,29.3,1.97,118,61,57,2025-12,0.57,8.2169
league|odds_bucket|market_prob_bucket,"BRA|[1.8,2.2)|[0.42,0.55)",1486,29.3,1.97,118,61,57,2025-12,0.57,8.2169
league|odds_bucket|favorite_relation,"BRA|[1.8,2.2)|market_favorite",1486,29.3,1.97,118,61,57,2025-12,0.57,8.2169
league|market_prob_bucket,"DNK|[0.55,1.00]",783,5.58,0.71,133,68,64,2025-10,-0.11,8.0784
league|odds_bucket|market_prob_bucket,"DNK|[1.0,1.8)|[0.55,1.00]",783,5.58,0.71,133,68,64,2025-10,-0.11,8.0784
league|market_prob_bucket|favorite_relation,"DNK|[0.55,1.00]|market_favorite",783,5.58,0.71,133,68,64,2025-10,-0.11,8.0784
league|outcome|market_prob_bucket,"SWE|away|[0.34,0.42)",496,1.07,0.22,105,54,50,2025-10,0.75,8.0237
league|odds_bucket,"BRA|[2.2,2.8)",1939,3.6,0.19,118,61,57,2025-12,5.97,8.0204
league|outcome,BRA|home,5275,0.86,0.02,118,61,57,2025-12,-0.89,8.0018
league|outcome|market_prob_bucket,"AUT|away|[0.28,0.34)",315,52.13,16.55,119,61,58,2025-09,1.86,7.8204
league|outcome|market_prob_bucket,"AUT|away|[0.42,0.55)",396,15.95,4.03,121,62,59,2025-10,5.29,6.4431
league|outcome|odds_bucket,"BRA|home|[2.2,2.8)",1263,36.1,2.86,117,60,57,2025-12,3.05,6.3144
league|odds_bucket|favorite_relation,"RUS|[2.2,2.8)|market_favorite",1118,23.59,2.11,127,65,62,2025-10,-0.17,6.2321
league|outcome,AUT|draw,2508,34.13,1.36,133,68,65,2025-10,-3.65,6.1497
league|outcome|favorite_relation,AUT|draw|market_non_favorite,2506,33.65,1.34,133,68,65,2025-10,-3.65,6.1477
league|favorite_relation,AUT|market_non_favorite,5016,63.97,1.28,133,68,65,2025-10,-6.15,6.1403
league|market_prob_bucket,"SWE|[0.55,1.00]",1231,13.83,1.12,111,57,54,2025-10,1.02,6.1236
league|odds_bucket|market_prob_bucket,"SWE|[1.0,1.8)|[0.55,1.00]",1231,13.83,1.12,111,57,54,2025-10,1.02,6.1236
league|market_prob_bucket|favorite_relation,"SWE|[0.55,1.00]|market_favorite",1231,13.83,1.12,111,57,54,2025-10,1.02,6.1236
league|outcome|odds_bucket,"AUT|away|[2.8,3.5)",369,43.27,11.73,122,62,60,2025-10,2.46,5.2899
league|outcome|odds_bucket,"SWE|draw|[2.8,3.5)",923,67.34,7.3,110,56,54,2025-10,-2.55,4.8025
league|outcome|market_prob_bucket,"SWZ|away|[0.28,0.34)",449,28.43,6.33,133,67,65,2025-10,1.23,4.6965
league|odds_bucket,"AUT|[2.8,3.5)",1184,13.34,1.13,130,66,64,2025-10,-5.18,4.1239
league|odds_bucket|favorite_relation,"AUT|[2.8,3.5)|market_non_favorite",1184,13.34,1.13,130,66,64,2025-10,-5.18,4.1239
league|odds_bucket,"ARG|[1.8,2.2)",1794,16.59,0.92,135,68,66,2025-12,-1.0,4.1017
league|odds_bucket|market_prob_bucket,"ARG|[1.8,2.2)|[0.42,0.55)",1794,16.59,0.92,135,68,66,2025-12,-1.0,4.1017
league|odds_bucket|favorite_relation,"ARG|[1.8,2.2)|market_favorite",1794,16.59,0.92,135,68,66,2025-12,-1.0,4.1017
league|outcome|favorite_relation,BRA|home|market_favorite,4237,29.89,0.71,118,60,58,2025-12,3.11,4.0776
league|outcome|market_prob_bucket,"DNK|home|[0.55,1.00]",618,4.35,0.7,132,67,65,2025-10,-0.13,4.0774
league|market_prob_bucket,"ARG|[0.42,0.55)",2535,5.77,0.23,135,68,66,2025-12,-1.0,4.025
league|market_prob_bucket|favorite_relation,"ARG|[0.42,0.55)|market_favorite",2535,5.77,0.23,135,68,66,2025-12,-1.0,4.025
league|outcome|odds_bucket,"ROU|away|[1.8,2.2)",356,0.5,0.14,129,65,63,2025-10,-2.0,4.0154
league|outcome|odds_bucket,"AUT|draw|[4.0,5.0)",567,93.04,16.41,131,66,65,2025-10,0.29,3.805
league|odds_bucket,"IRL|[3.5,4.0)",973,39.93,4.1,127,64,63,2025-10,0.74,2.4514
league|odds_bucket|market_prob_bucket,"IRL|[3.5,4.0)|[0.20,0.28)",973,39.93,4.1,127,64,63,2025-10,0.74,2.4514
league|odds_bucket|favorite_relation,"IRL|[3.5,4.0)|market_non_favorite",973,39.93,4.1,127,64,63,2025-10,0.74,2.4514
league|odds_bucket,"SWE|[1.0,1.8)",1314,10.96,0.83,113,57,56,2025-10,2.52,2.0918
league|odds_bucket|favorite_relation,"SWE|[1.0,1.8)|market_favorite",1314,10.96,0.83,113,57,56,2025-10,2.52,2.0918
league|odds_bucket,"IRL|[1.8,2.2)",612,5.08,0.83,121,61,60,2025-10,0.17,2.0913
league|odds_bucket|market_prob_bucket,"IRL|[1.8,2.2)|[0.42,0.55)",612,5.08,0.83,121,61,60,2025-10,0.17,2.0913
league|odds_bucket|favorite_relation,"IRL|[1.8,2.2)|market_favorite",612,5.08,0.83,121,61,60,2025-10,0.17,2.0913
league|outcome|odds_bucket,"MEX|home|[1.8,2.2)",1085,7.49,0.69,141,71,70,2025-10,-0.17,2.0759
league|outcome|market_prob_bucket,"CHN|away|[0.55,1.00]",355,2.19,0.62,87,44,43,2025-10,-0.14,2.0679
