test_month,candidate_id,match_key,source_file,source_row,date,league,home_team,away_team,outcome,probability,conservative_probability,odds,raw_odds,conservative_ev_pct,reference_dispersion,reference_bookmakers,execution_cost_rate,execution_bookmaker,odds_band,source_type,implied_probability,price_ratio,probability_uncertainty,relative_dispersion,log_odds,probability_squared,odds_probability_interaction,reference_depth_inverse,raw_net_odds_gap_pct,outcome_odds_band,outcome_source_type,source_odds_band,consensus_home_probability,consensus_draw_probability,consensus_away_probability,consensus_entropy,consensus_favorite_probability,selected_vs_favorite_probability,home_away_probability_gap,consensus_max_dispersion,execution_quote_advantage_pct,execution_book_overround,execution_selected_probability_gap,execution_nonselected_mean_absolute_gap,execution_selection_specificity,consensus_favorite_outcome,predicted_closing_edge_pct,lower_closing_edge_pct,ranking_lower_closing_edge_pct,predicted_closing_probability,selection_ranking_score,stake,estimated_probability_from_lower_clv,estimated_probability_from_unshrunk_training_market,estimated_probability_from_training_market,market_calibration_weight,estimated_probability_from_training_market_logistic,estimated_probability_from_validated_market_residual,outcome_probability_weight,staking_probability_profile,decision_frozen_before_closing_and_result,closing_probability,closing_fair_odds,closing_edge_pct,positive_clv,actual_outcome,won,profit
2021-12,data\historical_csv\football-data\2122\B1.csv:146:home,data\historical_csv\football-data\2122\B1.csv:146,data\historical_csv\football-data\2122\B1.csv,146,2021-12-03,B1,St Truiden,St. Gilloise,home,0.2491322587215617,0.23960760899493816,4.43,4.5,6.1461707847575875,0.007524649726623528,5,0.0,WH,4.0-5.0,sportsbook,0.22573363431151244,1.1036559061365183,0.009524649726623535,0.030203433972126915,1.4883995840570443,0.06206688233570715,0.3708083502563644,0.2,1.5801354401805856,home:4.0-5.0,home:sportsbook,sportsbook:4.0-5.0,0.2491322587215617,0.2780991634364587,0.4727685778419797,1.0563161756054789,0.4727685778419797,-0.22363631912041798,0.22363631912041798,0.007524649726623528,12.5,0.0771241830065359,0.04282157910991122,0.051937137457433724,-0.009115558347522507,away,14.151046961659851,9.333659965393304,9.333659965393304,0.25767730691119606,9.333659965393304,0.27,0.24680284416567339,0.24670329000871832,0.24672152526877186,0.816830752112477,,,0.0,lower_clv,True,0.210824674735707,4.743277803006764,-6.604669092081794,False,away,False,-0.27
2021-12,data\historical_csv\football-data\2122\D2.csv:139:home,data\historical_csv\football-data\2122\D2.csv:139,data\historical_csv\football-data\2122\D2.csv,139,2021-12-04,D2,Hansa Rostock,Ingolstadt,home,0.6345145420320519,0.6093168669209921,1.8134000000000001,1.83,10.493520647452703,0.023197675111059853,5,0.0,B365,1.5-2.0,sportsbook,0.5514503143266791,1.150628670520923,0.02519767511105986,0.03655972176267009,0.5952035362298188,0.4026087040501446,0.3776652992067213,0.2,0.9154075217822744,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.6345145420320519,0.2292089706251252,0.13627648734282283,0.897898628119901,0.6345145420320519,0.0,0.4982380546892291,0.023197675111059853,21.19205298013245,0.0510920502799912,0.11462849847751222,0.05731424923875611,0.05731424923875611,home,14.224365889495827,11.768999193951801,11.768999193951801,0.6298906247352808,11.768999193951801,1.45,0.6163504973748307,0.6355457857721719,0.6320297992334468,0.816830752112477,,,0.0,lower_clv,True,0.6064923221779523,1.6488254895114527,9.98131770374988,True,draw,False,-1.45
2021-12,data\historical_csv\football-data\2122\B1.csv:153:draw,data\historical_csv\football-data\2122\B1.csv:153,data\historical_csv\football-data\2122\B1.csv,153,2021-12-05,B1,Standard,Charleroi,draw,0.2705801500737049,0.25399791538039773,4.038,4.1,2.564358230604613,0.014582234693307154,5,0.0,BW,4.0-5.0,sportsbook,0.24764735017335313,1.0926026459976204,0.016582234693307163,0.05389247766081516,1.3957495198906458,0.07321361761390867,0.37766211455731247,0.2,1.535413571074784,draw:4.0-5.0,draw:sportsbook,sportsbook:4.0-5.0,0.4239261321011444,0.2705801500737049,0.3054937178251507,1.0797729808052612,0.4239261321011444,-0.1533459820274395,0.11843241427599366,0.014582234693307154,5.670103092783507,0.05989591107661374,0.04046091244343539,0.020230456221717735,0.020230456221717652,home,7.701086449058381,3.208951667647564,3.208951667647564,0.2667188866990054,3.208951667647564,0.11,0.25559423394662595,0.26824791805314646,0.26593015225234884,0.816830752112477,,,0.0,lower_clv,True,0.27815894427708326,3.595066851432493,12.32058169908623,True,away,False,-0.11
2021-12,data\historical_csv\football-data\2122\I2.csv:162:home,data\historical_csv\football-data\2122\I2.csv:162,data\historical_csv\football-data\2122\I2.csv,162,2021-12-10,I2,Cremonese,Crotone,home,0.5471061763299465,0.5330356378786342,1.9604,1.98,4.49630644972745,0.012070538451312295,5,0.0,BW,1.5-2.0,sportsbook,0.5100999795960008,1.0725469480772272,0.014070538451312342,0.022062515419370526,0.6731485340532554,0.2993251681783745,0.36828372056798536,0.2,0.9997959600081652,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.5471061763299465,0.25708740266775676,0.19580642100229662,0.9984659810958169,0.5471061763299465,0.0,0.3512997553276499,0.012070538451312295,13.142857142857146,0.06943842237959874,0.07484849932716847,0.03742424966358432,0.03742424966358415,home,8.903978858439299,6.104659801630041,6.104659801630041,0.5555191739361319,6.104659801630041,0.64,0.541239847998521,0.5472597124394177,0.5461570583973938,0.816830752112477,,,0.0,lower_clv,True,0.5471942588407068,1.8275045540839803,7.271962503132157,True,home,True,0.61
2021-12,data\historical_csv\football-data\2122\D2.csv:147:away,data\historical_csv\football-data\2122\D2.csv:147,data\historical_csv\football-data\2122\D2.csv,147,2021-12-10,D2,Schalke 04,Nurnberg,away,0.30219022088253183,0.28789405526619943,3.842,3.9,10.608896033273819,0.012296165616332415,5,0.0,BW,3.0-4.0,sportsbook,0.2602811035918792,1.1610148286306874,0.014296165616332401,0.040690150662129505,1.345993064346365,0.09131892959703337,0.4067459414211839,0.2,1.5096304008328953,away:3.0-4.0,away:sportsbook,sportsbook:3.0-4.0,0.41855476620620097,0.27925501291126714,0.30219022088253183,1.0823958941160785,0.41855476620620097,-0.11636454532366913,0.11636454532366913,0.015150202068281668,17.469879518072283,0.05944055944055959,0.060166018462289805,0.030083009231144875,0.03008300923114493,home,9.604612245446598,5.14409052151843,5.14409052151843,0.2852800943400484,5.14409052151843,0.18,0.2736701991710527,0.3000406779946549,0.29521041722210184,0.816830752112477,,,0.0,lower_clv,True,0.2724408326726931,3.6705217429774453,4.67176791284869,True,home,False,-0.18
2021-12,data\historical_csv\football-data\2122\E2.csv:252:home,data\historical_csv\football-data\2122\E2.csv:252,data\historical_csv\football-data\2122\E2.csv,252,2021-12-11,E2,Fleetwood Town,Gillingham,home,0.5316150830607956,0.5194938547061433,1.9604,1.98,1.8415752765923221,0.010121228354652368,5,0.0,BW,1.5-2.0,sportsbook,0.5100999795960008,1.0421782088323837,0.012121228354652347,0.019038640319192942,0.6731485340532554,0.28261459653773663,0.35785591384297416,0.2,0.9997959600081652,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.5316150830607956,0.2494596175088259,0.21892529943037836,1.0148105218190615,0.5316150830607956,0.0,0.3126897836304173,0.014854310789326983,9.999999999999986,0.07647907647907637,0.062446182256506,0.03122309112825311,0.03122309112825289,home,6.126311722532174,3.3137367929650496,3.3137367929650496,0.5413502944426248,3.3137367929650496,0.35,0.5270033503007807,0.5316054067928009,0.5307624515664217,0.816830752112477,,,0.0,lower_clv,True,0.5290931051828694,1.8900265193483705,3.7234123400497143,True,home,True,0.34
2021-12,data\historical_csv\football-data\2122\N1.csv:140:home,data\historical_csv\football-data\2122\N1.csv:140,data\historical_csv\football-data\2122\N1.csv,140,2021-12-11,N1,Zwolle,For Sittard,home,0.5228425503533685,0.5068772830637751,1.98,2.0,0.36170204662746563,0.013965267289593318,5,0.0,BW,1.5-2.0,sportsbook,0.5050505050505051,1.0352282496996696,0.015965267289593355,0.026710273064337917,0.6830968447064438,0.2733643324600146,0.35715209642465595,0.2,1.0101010101010166,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.5228425503533685,0.25693967441875665,0.22021777522787497,1.0214291423882222,0.5228425503533685,0.0,0.30262477512549346,0.013965267289593318,9.289617486338786,0.055984555984555984,0.04935077704441049,0.024675388522205174,0.024675388522205313,home,5.824364068300447,2.97882982019122,2.97882982019122,0.5344664851934366,2.97882982019122,0.3,0.5200951001019759,0.5227401263235373,0.5222556388598911,0.816830752112477,,,0.0,lower_clv,True,0.45512896497501243,2.1971794303509165,-9.884464934947534,False,away,False,-0.3
2021-12,data\historical_csv\football-data\2122\B1.csv:162:home,data\historical_csv\football-data\2122\B1.csv:162,data\historical_csv\football-data\2122\B1.csv,162,2021-12-12,B1,Gent,Genk,home,0.5207001905742764,0.5087468653108813,2.029,2.05,3.224738971577823,0.009953325263395072,5,0.0,WH,2.0-3.0,sportsbook,0.49285362247412523,1.0565006866752067,0.011953325263395098,0.019115271020772286,0.7075430608436777,0.2711286884640878,0.3684178066208098,0.2,1.0349926071956617,home:2.0-3.0,home:sportsbook,sportsbook:2.0-3.0,0.5207001905742764,0.25030388493923683,0.22899592448648676,1.0240414572357663,0.5207001905742764,0.0,0.29170426608778965,0.02180935764366524,2.499999999999991,0.06763681082188988,0.063798673968402,0.031899336984200916,0.03189933698420108,home,8.630722518787692,5.715369336754916,5.715369336754916,0.5353904510536605,5.715369336754916,0.56,0.5210220272880972,0.5205750989025622,0.5206569624388002,0.816830752112477,,,0.0,lower_clv,True,0.5960204915290852,1.6777946634594878,20.93255773125138,True,home,True,0.58
2022-01,data\historical_csv\football-data\2122\P1.csv:154:home,data\historical_csv\football-data\2122\P1.csv:154,data\historical_csv\football-data\2122\P1.csv,154,2022-01-13,P1,Famalicao,Belenenses,home,0.5626507100116103,0.545669470012285,1.882,1.9,2.6949942563120333,0.014981239999325246,5,0.0,B365,1.5-2.0,sportsbook,0.5313496280552604,1.0589086362418505,0.016981239999325215,0.02662618163054679,0.6323350411631878,0.31657582147656915,0.35578375987568844,0.2,0.9564293304994642,home:1.5-2.0,home:sportsbook,sportsbook:1.5-2.0,0.5626507100116103,0.2594444940609092,0.17790479592748057,0.9807778943618826,0.5626507100116103,0.0,0.3847459140841297,0.014981239999325246,11.764705882352944,0.07043343653250767,0.07096596669996891,0.035482983349984454,0.035482983349984454,home,3.725395034574941,1.1028113198662925,1.1028113198662925,0.5511445007150635,1.1028113198662925,0.13,0.5372094119015213,0.573211045425654,0.5627923907562282,0.7106060572934308,,,0.0,lower_clv,True,0.6298210050916653,1.5877526978549377,18.53231315825139,True,home,True,0.11
2022-01,data\historical_csv\football-data\2122\N1.csv:164:home,data\historical_csv\football-data\2122\N1.csv:164,data\historical_csv\football-data\2122\N1.csv,164,2022-01-14,N1,Zwolle,Willem II,home,0.3123726560091148,0.3085295519898937,3.45,3.5,6.442695436513324,0.001843104019221093,5,0.0,BW,3.0-4.0,sportsbook,0.2898550724637681,1.077685663231446,0.0038431040192211108,0.005900337253486466,1.2383742310432684,0.09757667622218875,0.3868342476842309,0.2,1.4492753623188248,home:3.0-4.0,home:sportsbook,sportsbook:3.0-4.0,0.3123726560091148,0.28742095330835943,0.4002063906825257,1.0883213604878528,0.4002063906825257,-0.08783373467341093,0.08783373467341093,0.006698571057630517,14.006514657980462,0.05602240896358546,0.041815626831396,0.029814177864640967,0.012001448966755035,away,8.263118005777969,4.133618982797294,4.133618982797294,0.3138061391471825,4.133618982797294,0.17,0.30183657676173126,0.30846087035394376,0.30654383991364753,0.7106060572934308,,,0.0,lower_clv,True,0.391542573256002,2.554000684227436,35.082187773320705,True,home,True,0.42
