validation_start,validation_end,train_start,train_end,candidate_rule_count,selected_rules,max_pairwise_monthly_profit_corr,train_bets,train_profit,train_roi_pct,train_positive_months,train_negative_months,train_window_count,train_active_window_count,train_active_passed_windows,train_active_pass_rate,window_start,window_end,bets,staked,profit,roi_pct,max_drawdown,positive_months,negative_months,passes_window
2019-01,2019-12,2015-01,2018-12,8,"['AVG_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)']",0.0536,339.0,51.28,15.13,31.0,10.0,3.0,3.0,2.0,0.6667,2019-01,2019-12,113,113.0,-15.96,-14.12,22.4,3,8,False
2020-01,2020-12,2016-01,2019-12,5,"['PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)', 'AVG_CLOSE::league|outcome|odds_bucket=NOR|home|[1.8,2.2)']",0.1501,391.0,27.48,7.03,20.0,15.0,3.0,3.0,2.0,0.6667,2020-01,2020-12,102,102.0,-0.73,-0.72,13.19,4,3,False
2021-01,2021-12,2017-01,2020-12,5,"['PS_CLOSE::league|outcome|market_prob_bucket=RUS|home|[0.34,0.42)', 'PS_CLOSE::league|outcome|odds_bucket=SWE|away|[2.2,2.8)']",0.2262,334.0,28.51,8.54,22.0,15.0,3.0,3.0,2.0,0.6667,2021-01,2021-12,75,75.0,-10.54,-14.05,13.86,4,6,False
2022-01,2022-12,2018-01,2021-12,1,[],,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0,0,False
2023-01,2023-12,2019-01,2022-12,4,[],,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0,0,False
2024-01,2024-12,2020-01,2023-12,4,"['PS_CLOSE::league|outcome|odds_bucket=JPN|away|[2.8,3.5)', 'PS_CLOSE::league|outcome|market_prob_bucket=AUT|away|[0.20,0.28)']",0.1041,392.0,55.86,14.25,24.0,17.0,3.0,3.0,2.0,0.6667,2024-01,2024-12,131,131.0,20.77,15.85,8.93,7,4,True
2025-01,2025-12,2021-01,2024-12,4,[],,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0,0,False
