label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_CLOSE_train30_n240_ev0p0_top3_ridge10,AVG_CLOSE,30,240,0.0,3,10.0,2044,915,915,766.9,8.38,181.8,26,15,6,5,6,5,0.8333
AVG_CLOSE_train30_n120_evneg0p01_top3_ridge10,AVG_CLOSE,30,120,-0.01,3,10.0,2044,927,927,739.6,7.98,181.8,25,16,6,5,6,5,0.8333
AVG_CLOSE_train30_n240_evneg0p01_top3_ridge10,AVG_CLOSE,30,240,-0.01,3,10.0,2044,927,927,739.6,7.98,181.8,25,16,6,5,6,5,0.8333
AVG_CLOSE_train30_n120_ev0p02_top3_ridge10,AVG_CLOSE,30,120,0.02,3,10.0,2044,889,889,686.2,7.72,201.9,27,14,6,5,6,5,0.8333
AVG_CLOSE_train30_n240_ev0p02_top3_ridge10,AVG_CLOSE,30,240,0.02,3,10.0,2044,889,889,686.2,7.72,201.9,27,14,6,5,6,5,0.8333
AVG_OPEN_train18_n120_ev0p0_top3_ridge10,AVG_OPEN,18,120,0.0,3,10.0,2063,892,892,1037.3,11.63,193.7,24,17,6,4,6,4,0.6667
AVG_OPEN_train18_n240_ev0p0_top3_ridge10,AVG_OPEN,18,240,0.0,3,10.0,2063,892,892,1037.3,11.63,193.7,24,17,6,4,6,4,0.6667
AVG_OPEN_train42_n120_ev0p04_top3_ridge10,AVG_OPEN,42,120,0.04,3,10.0,2063,883,883,986.9,11.18,140.7,27,14,6,4,6,4,0.6667
AVG_OPEN_train42_n240_ev0p04_top3_ridge10,AVG_OPEN,42,240,0.04,3,10.0,2063,883,883,986.9,11.18,140.7,27,14,6,4,6,4,0.6667
AVG_OPEN_train18_n120_evneg0p01_top3_ridge10,AVG_OPEN,18,120,-0.01,3,10.0,2063,904,904,1007.1,11.14,186.9,24,17,6,4,6,4,0.6667
AVG_OPEN_train18_n240_evneg0p01_top3_ridge10,AVG_OPEN,18,240,-0.01,3,10.0,2063,904,904,1007.1,11.14,186.9,24,17,6,4,6,4,0.6667
AVG_OPEN_train42_n120_ev0p02_top3_ridge10,AVG_OPEN,42,120,0.02,3,10.0,2063,907,907,967.1,10.66,159.6,25,16,6,4,6,4,0.6667
AVG_OPEN_train42_n240_ev0p02_top3_ridge10,AVG_OPEN,42,240,0.02,3,10.0,2063,907,907,967.1,10.66,159.6,25,16,6,4,6,4,0.6667
AVG_OPEN_train42_n120_ev0p04_top3_ridge35,AVG_OPEN,42,120,0.04,3,35.0,2063,885,885,939.3,10.61,166.2,26,15,6,4,6,4,0.6667
AVG_OPEN_train42_n240_ev0p04_top3_ridge35,AVG_OPEN,42,240,0.04,3,35.0,2063,885,885,939.3,10.61,166.2,26,15,6,4,6,4,0.6667
AVG_OPEN_train18_n120_ev0p02_top3_ridge35,AVG_OPEN,18,120,0.02,3,35.0,2063,861,861,907.1,10.54,166.2,25,16,6,4,6,4,0.6667
AVG_OPEN_train18_n240_ev0p02_top3_ridge35,AVG_OPEN,18,240,0.02,3,35.0,2063,861,861,907.1,10.54,166.2,25,16,6,4,6,4,0.6667
AVG_OPEN_train42_n120_ev0p02_top3_ridge35,AVG_OPEN,42,120,0.02,3,35.0,2063,909,909,911.6,10.03,166.2,25,16,6,4,6,4,0.6667
AVG_OPEN_train42_n240_ev0p02_top3_ridge35,AVG_OPEN,42,240,0.02,3,35.0,2063,909,909,911.6,10.03,166.2,25,16,6,4,6,4,0.6667
AVG_OPEN_train18_n120_ev0p0_top3_ridge35,AVG_OPEN,18,120,0.0,3,35.0,2063,892,892,876.5,9.83,198.1,22,19,6,4,6,4,0.6667
AVG_OPEN_train18_n240_ev0p0_top3_ridge35,AVG_OPEN,18,240,0.0,3,35.0,2063,892,892,876.5,9.83,198.1,22,19,6,4,6,4,0.6667
AVG_CLOSE_train18_n120_ev0p02_top3_ridge10,AVG_CLOSE,18,120,0.02,3,10.0,2044,861,861,820.3,9.53,220.0,26,15,6,4,6,4,0.6667
AVG_CLOSE_train18_n240_ev0p02_top3_ridge10,AVG_CLOSE,18,240,0.02,3,10.0,2044,861,861,820.3,9.53,220.0,26,15,6,4,6,4,0.6667
AVG_CLOSE_train42_n120_ev0p04_top3_ridge10,AVG_CLOSE,42,120,0.04,3,10.0,2044,870,870,824.9,9.48,195.0,26,15,6,4,6,4,0.6667
