label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_OPEN_train18_n120_ev0p0_top1_ridge10,AVG_OPEN,18,120,0.0,1,10.0,2063,431,431,365.8,8.49,159.7,24,17,6,1,6,1,0.1667
AVG_OPEN_train18_n240_ev0p0_top1_ridge10,AVG_OPEN,18,240,0.0,1,10.0,2063,431,431,365.8,8.49,159.7,24,17,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_ev0p0_top1_ridge35,AVG_CLOSE,42,120,0.0,1,35.0,2044,434,434,367.3,8.46,153.4,25,16,6,1,6,1,0.1667
AVG_CLOSE_train42_n240_ev0p0_top1_ridge35,AVG_CLOSE,42,240,0.0,1,35.0,2044,434,434,367.3,8.46,153.4,25,16,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_evneg0p01_top1_ridge35,AVG_CLOSE,42,120,-0.01,1,35.0,2044,436,436,360.9,8.28,153.4,25,16,6,1,6,1,0.1667
AVG_CLOSE_train42_n240_evneg0p01_top1_ridge35,AVG_CLOSE,42,240,-0.01,1,35.0,2044,436,436,360.9,8.28,153.4,25,16,6,1,6,1,0.1667
AVG_OPEN_train18_n120_evneg0p01_top1_ridge10,AVG_OPEN,18,120,-0.01,1,10.0,2063,436,436,357.6,8.2,155.5,23,18,6,1,6,1,0.1667
AVG_OPEN_train18_n240_evneg0p01_top1_ridge10,AVG_OPEN,18,240,-0.01,1,10.0,2063,436,436,357.6,8.2,155.5,23,18,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_ev0p02_top1_ridge35,AVG_CLOSE,42,120,0.02,1,35.0,2044,427,427,342.3,8.02,153.4,25,16,6,1,6,1,0.1667
AVG_CLOSE_train42_n240_ev0p02_top1_ridge35,AVG_CLOSE,42,240,0.02,1,35.0,2044,427,427,342.3,8.02,153.4,25,16,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_ev0p04_top1_ridge35,AVG_CLOSE,30,120,0.04,1,35.0,2044,417,417,326.7,7.83,153.4,23,18,6,1,6,1,0.1667
AVG_CLOSE_train30_n240_ev0p04_top1_ridge35,AVG_CLOSE,30,240,0.04,1,35.0,2044,417,417,326.7,7.83,153.4,23,18,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_ev0p0_top1_ridge35,AVG_CLOSE,30,120,0.0,1,35.0,2044,432,432,337.7,7.82,153.4,24,17,6,1,6,1,0.1667
AVG_CLOSE_train30_n240_ev0p0_top1_ridge35,AVG_CLOSE,30,240,0.0,1,35.0,2044,432,432,337.7,7.82,153.4,24,17,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_ev0p02_top1_ridge35,AVG_CLOSE,30,120,0.02,1,35.0,2044,427,427,328.3,7.69,153.4,24,17,6,1,6,1,0.1667
AVG_CLOSE_train30_n240_ev0p02_top1_ridge35,AVG_CLOSE,30,240,0.02,1,35.0,2044,427,427,328.3,7.69,153.4,24,17,6,1,6,1,0.1667
AVG_CLOSE_train18_n120_ev0p04_top1_ridge10,AVG_CLOSE,18,120,0.04,1,10.0,2044,409,409,307.1,7.51,176.9,20,21,6,1,6,1,0.1667
AVG_CLOSE_train18_n240_ev0p04_top1_ridge10,AVG_CLOSE,18,240,0.04,1,10.0,2044,409,409,307.1,7.51,176.9,20,21,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_evneg0p01_top1_ridge35,AVG_CLOSE,30,120,-0.01,1,35.0,2044,436,436,322.9,7.41,153.4,24,17,6,1,6,1,0.1667
AVG_CLOSE_train30_n240_evneg0p01_top1_ridge35,AVG_CLOSE,30,240,-0.01,1,35.0,2044,436,436,322.9,7.41,153.4,24,17,6,1,6,1,0.1667
AVG_CLOSE_train18_n120_ev0p02_top1_ridge10,AVG_CLOSE,18,120,0.02,1,10.0,2044,422,422,308.5,7.31,176.9,19,22,6,1,6,1,0.1667
AVG_CLOSE_train18_n240_ev0p02_top1_ridge10,AVG_CLOSE,18,240,0.02,1,10.0,2044,422,422,308.5,7.31,176.9,19,22,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_ev0p04_top1_ridge10,AVG_CLOSE,42,120,0.04,1,10.0,2044,420,420,305.8,7.28,173.4,20,21,6,1,6,1,0.1667
AVG_CLOSE_train42_n240_ev0p04_top1_ridge10,AVG_CLOSE,42,240,0.04,1,10.0,2044,420,420,305.8,7.28,173.4,20,21,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_ev0p04_top1_ridge35,AVG_CLOSE,42,120,0.04,1,35.0,2044,420,420,304.0,7.24,153.4,24,17,6,1,6,1,0.1667
AVG_CLOSE_train42_n240_ev0p04_top1_ridge35,AVG_CLOSE,42,240,0.04,1,35.0,2044,420,420,304.0,7.24,153.4,24,17,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_ev0p0_top1_ridge10,AVG_CLOSE,42,120,0.0,1,10.0,2044,434,434,306.2,7.06,183.4,20,21,6,1,6,1,0.1667
AVG_CLOSE_train42_n240_ev0p0_top1_ridge10,AVG_CLOSE,42,240,0.0,1,10.0,2044,434,434,306.2,7.06,183.4,20,21,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_evneg0p01_top1_ridge10,AVG_CLOSE,42,120,-0.01,1,10.0,2044,438,438,293.8,6.71,183.4,20,21,6,1,6,1,0.1667
AVG_CLOSE_train42_n240_evneg0p01_top1_ridge10,AVG_CLOSE,42,240,-0.01,1,10.0,2044,438,438,293.8,6.71,183.4,20,21,6,1,6,1,0.1667
AVG_CLOSE_train42_n120_ev0p02_top1_ridge10,AVG_CLOSE,42,120,0.02,1,10.0,2044,426,426,285.7,6.71,173.4,20,21,6,1,6,1,0.1667
AVG_CLOSE_train42_n240_ev0p02_top1_ridge10,AVG_CLOSE,42,240,0.02,1,10.0,2044,426,426,285.7,6.71,173.4,20,21,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_ev0p04_top1_ridge10,AVG_CLOSE,30,120,0.04,1,10.0,2044,419,419,127.6,3.05,173.4,19,22,6,1,6,1,0.1667
AVG_CLOSE_train30_n240_ev0p04_top1_ridge10,AVG_CLOSE,30,240,0.04,1,10.0,2044,419,419,127.6,3.05,173.4,19,22,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_ev0p02_top1_ridge10,AVG_CLOSE,30,120,0.02,1,10.0,2044,425,425,108.9,2.56,173.4,19,22,6,1,6,1,0.1667
AVG_CLOSE_train30_n240_ev0p02_top1_ridge10,AVG_CLOSE,30,240,0.02,1,10.0,2044,425,425,108.9,2.56,173.4,19,22,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_ev0p0_top1_ridge10,AVG_CLOSE,30,120,0.0,1,10.0,2044,433,433,96.1,2.22,183.4,19,22,6,1,6,1,0.1667
AVG_CLOSE_train30_n240_ev0p0_top1_ridge10,AVG_CLOSE,30,240,0.0,1,10.0,2044,433,433,96.1,2.22,183.4,19,22,6,1,6,1,0.1667
AVG_CLOSE_train30_n120_evneg0p01_top1_ridge10,AVG_CLOSE,30,120,-0.01,1,10.0,2044,438,438,94.0,2.15,183.4,19,22,6,1,6,1,0.1667
AVG_CLOSE_train30_n240_evneg0p01_top1_ridge10,AVG_CLOSE,30,240,-0.01,1,10.0,2044,438,438,94.0,2.15,183.4,19,22,6,1,6,1,0.1667
AVG_CLOSE_train18_n120_ev0p0_top1_ridge10,AVG_CLOSE,18,120,0.0,1,10.0,2044,431,431,246.4,5.72,176.9,18,23,6,0,6,0,0.0
AVG_CLOSE_train18_n240_ev0p0_top1_ridge10,AVG_CLOSE,18,240,0.0,1,10.0,2044,431,431,246.4,5.72,176.9,18,23,6,0,6,0,0.0
AVG_CLOSE_train18_n120_evneg0p01_top1_ridge10,AVG_CLOSE,18,120,-0.01,1,10.0,2044,435,435,237.6,5.46,176.9,19,22,6,0,6,0,0.0
AVG_CLOSE_train18_n240_evneg0p01_top1_ridge10,AVG_CLOSE,18,240,-0.01,1,10.0,2044,435,435,237.6,5.46,176.9,19,22,6,0,6,0,0.0
