label,odds_source,train_months,min_train_rows,min_predicted_ev,max_bets_per_day,ridge,candidate_count,selected_candidates,bets,profit,roi_pct,max_drawdown,positive_months,negative_months,window_count,passed_windows,active_window_count,active_passed_windows,active_pass_rate
AVG_OPEN_train30_n120_ev0p02_top1_ridge10_cap0.08,AVG_OPEN,30,120,0.02,1,10.0,2063,423,423,661.8,15.65,97.8,26,15,6,4,6,4,0.6667
AVG_OPEN_train30_n120_ev0p0_top1_ridge10_cap0.08,AVG_OPEN,30,120,0.0,1,10.0,2063,435,435,665.3,15.29,122.8,26,15,6,4,6,4,0.6667
AVG_OPEN_train30_n120_evneg0p01_top1_ridge10_cap0.08,AVG_OPEN,30,120,-0.01,1,10.0,2063,443,443,638.8,14.42,142.8,25,16,6,4,6,4,0.6667
AVG_OPEN_train42_n120_ev0p02_top1_ridge10_cap0.12,AVG_OPEN,42,120,0.02,1,10.0,2063,428,428,495.9,11.59,176.5,28,13,6,4,6,4,0.6667
AVG_CLOSE_train30_n120_ev0p02_top1_ridge10_cap0.08,AVG_CLOSE,30,120,0.02,1,10.0,2044,426,426,470.3,11.04,122.5,24,17,6,4,6,4,0.6667
AVG_OPEN_train42_n120_ev0p02_top1_ridge10_cap0.08,AVG_OPEN,42,120,0.02,1,10.0,2063,428,428,464.4,10.85,125.0,24,17,6,4,6,4,0.6667
AVG_CLOSE_train30_n120_ev0p0_top1_ridge10_cap0.08,AVG_CLOSE,30,120,0.0,1,10.0,2044,434,434,464.1,10.69,130.2,25,16,6,4,6,4,0.6667
AVG_CLOSE_train30_n120_evneg0p01_top1_ridge10_cap0.08,AVG_CLOSE,30,120,-0.01,1,10.0,2044,437,437,463.2,10.6,130.2,24,17,6,4,6,4,0.6667
AVG_OPEN_train42_n120_ev0p0_top1_ridge10_cap0.08,AVG_OPEN,42,120,0.0,1,10.0,2063,438,438,441.6,10.08,125.0,23,18,6,4,6,4,0.6667
AVG_OPEN_train42_n120_evneg0p01_top1_ridge10_cap0.08,AVG_OPEN,42,120,-0.01,1,10.0,2063,443,443,419.4,9.47,142.8,22,19,6,4,6,4,0.6667
AVG_OPEN_train42_n120_ev0p0_top1_ridge10_cap0.12,AVG_OPEN,42,120,0.0,1,10.0,2063,438,438,473.1,10.8,182.5,28,13,6,3,6,3,0.5
