columns,key,bets,profit,roi_pct,active_months,positive_months,negative_months,latest_month,latest_profit,score
market_prob_bucket,"[0.28,0.34)",456,24.35,5.34,22,15,7,2026-06,-6.55,16.5874
league|market_prob_bucket,"WORLD_CUP|[0.28,0.34)",456,24.35,5.34,22,15,7,2026-06,-6.55,16.5874
outcome|odds_bucket|market_prob_bucket,"draw|[3.5,4.0)|[0.20,0.28)",161,29.46,18.3,20,13,7,2026-06,6.9,14.0128
outcome|market_prob_bucket,"home|[0.28,0.34)",60,10.21,17.02,20,13,7,2026-06,2.35,13.8718
league|outcome|market_prob_bucket,"WORLD_CUP|home|[0.28,0.34)",60,10.21,17.02,20,13,7,2026-06,2.35,13.8718
market_prob_bucket|favorite_relation,"[0.28,0.34)|market_non_favorite",451,26.45,5.86,22,14,8,2026-06,-6.55,12.6451
league|market_prob_bucket|favorite_relation,"WORLD_CUP|[0.28,0.34)|market_non_favorite",451,26.45,5.86,22,14,8,2026-06,-6.55,12.6451
odds_bucket|market_prob_bucket,"[2.8,3.5)|[0.28,0.34)",403,16.64,4.13,22,14,8,2026-06,-10.65,12.4542
league|odds_bucket|market_prob_bucket,"WORLD_CUP|[2.8,3.5)|[0.28,0.34)",403,16.64,4.13,22,14,8,2026-06,-10.65,12.4542
outcome|odds_bucket,"draw|[3.5,4.0)",198,31.29,15.8,21,13,8,2026-06,11.0,11.7383
league|outcome|odds_bucket,"WORLD_CUP|draw|[3.5,4.0)",198,31.29,15.8,21,13,8,2026-06,11.0,11.7383
outcome|odds_bucket|favorite_relation,"draw|[3.5,4.0)|market_non_favorite",198,31.29,15.8,21,13,8,2026-06,11.0,11.7383
odds_bucket,"[3.5,4.0)",296,39.94,13.49,21,13,8,2026-06,9.6,11.4843
league|odds_bucket,"WORLD_CUP|[3.5,4.0)",296,39.94,13.49,21,13,8,2026-06,9.6,11.4843
odds_bucket|favorite_relation,"[3.5,4.0)|market_non_favorite",296,39.94,13.49,21,13,8,2026-06,9.6,11.4843
league|odds_bucket|favorite_relation,"WORLD_CUP|[3.5,4.0)|market_non_favorite",296,39.94,13.49,21,13,8,2026-06,9.6,11.4843
odds_bucket|market_prob_bucket,"[2.2,2.8)|[0.42,0.55)",77,2.63,3.42,19,12,7,2026-06,-1.0,10.3757
league|odds_bucket|market_prob_bucket,"WORLD_CUP|[2.2,2.8)|[0.42,0.55)",77,2.63,3.42,19,12,7,2026-06,-1.0,10.3757
odds_bucket|market_prob_bucket|favorite_relation,"[2.2,2.8)|[0.42,0.55)|market_favorite",77,2.63,3.42,19,12,7,2026-06,-1.0,10.3757
outcome|market_prob_bucket|favorite_relation,"home|[0.28,0.34)|market_non_favorite",57,10.31,18.09,20,12,8,2026-06,2.35,9.9896
outcome|market_prob_bucket,"draw|[0.34,0.42)",23,7.41,32.22,11,7,4,2026-06,3.25,9.5439
league|outcome|market_prob_bucket,"WORLD_CUP|draw|[0.34,0.42)",23,7.41,32.22,11,7,4,2026-06,3.25,9.5439
odds_bucket|market_prob_bucket,"[3.5,4.0)|[0.20,0.28)",247,32.23,13.05,20,12,8,2026-06,5.5,9.4353
league|odds_bucket|market_prob_bucket,"WORLD_CUP|[3.5,4.0)|[0.20,0.28)",247,32.23,13.05,20,12,8,2026-06,5.5,9.4353
odds_bucket|market_prob_bucket|favorite_relation,"[3.5,4.0)|[0.20,0.28)|market_non_favorite",247,32.23,13.05,20,12,8,2026-06,5.5,9.4353
odds_bucket|market_prob_bucket|favorite_relation,"[2.8,3.5)|[0.28,0.34)|market_non_favorite",398,18.74,4.71,22,13,9,2026-06,-10.65,8.5179
odds_bucket,"[2.8,3.5)",463,10.79,2.33,22,13,9,2026-06,-9.85,8.2563
league|odds_bucket,"WORLD_CUP|[2.8,3.5)",463,10.79,2.33,22,13,9,2026-06,-9.85,8.2563
outcome|odds_bucket,"away|[2.8,3.5)",87,12.29,14.13,21,12,9,2026-06,-6.0,7.5539
league|outcome|odds_bucket,"WORLD_CUP|away|[2.8,3.5)",87,12.29,14.13,21,12,9,2026-06,-6.0,7.5539
odds_bucket|market_prob_bucket,"[4.0,5.0)|[0.20,0.28)",326,3.56,1.09,21,12,9,2026-06,-6.95,6.1201
league|odds_bucket|market_prob_bucket,"WORLD_CUP|[4.0,5.0)|[0.20,0.28)",326,3.56,1.09,21,12,9,2026-06,-6.95,6.1201
odds_bucket|market_prob_bucket|favorite_relation,"[4.0,5.0)|[0.20,0.28)|market_non_favorite",326,3.56,1.09,21,12,9,2026-06,-6.95,6.1201
market_prob_bucket,"[0.55,1.00]",731,1.42,0.19,21,12,9,2026-06,2.72,6.0214
league|market_prob_bucket,"WORLD_CUP|[0.55,1.00]",731,1.42,0.19,21,12,9,2026-06,2.72,6.0214
market_prob_bucket|favorite_relation,"[0.55,1.00]|market_favorite",731,1.42,0.19,21,12,9,2026-06,2.72,6.0214
league|market_prob_bucket|favorite_relation,"WORLD_CUP|[0.55,1.00]|market_favorite",731,1.42,0.19,21,12,9,2026-06,2.72,6.0214
outcome|odds_bucket|market_prob_bucket,"home|[2.2,2.8)|[0.42,0.55)",43,6.95,16.16,16,9,7,2026-06,-1.0,5.7779
outcome|odds_bucket|market_prob_bucket,"home|[2.8,3.5)|[0.28,0.34)",54,5.11,9.46,18,10,8,2026-06,2.35,5.0409
outcome|market_prob_bucket|favorite_relation,"away|[0.28,0.34)|market_non_favorite",75,17.81,23.75,21,11,10,2026-06,-5.0,4.6121
outcome|odds_bucket|market_prob_bucket,"away|[2.8,3.5)|[0.28,0.34)",67,15.03,22.43,21,11,10,2026-06,-5.0,4.4676
outcome|market_prob_bucket,"away|[0.28,0.34)",76,16.81,22.12,21,11,10,2026-06,-5.0,4.433
