rule,odds_source,walk_forward_bets,walk_forward_profit,walk_forward_roi_pct,portfolio_bets,portfolio_staked,portfolio_profit,portfolio_roi_pct,portfolio_max_drawdown,positive_months,negative_months,positive_seasons,negative_seasons,passes_screen,fail_reasons
"league|outcome|odds_bucket=N1|draw|[4.0,5.0)",MAX_CLOSE,118,48.79,41.35,118,1180.0,487.9,41.35,60.0,9,2,1,1,False,['positive_seasons<=negative_seasons']
"league|odds_bucket=N1|[4.0,5.0)",MAX_CLOSE,52,20.45,39.33,52,520.0,204.5,39.33,68.0,3,0,1,0,False,['bets<100']
"league|odds_bucket|favorite_relation=N1|[4.0,5.0)|market_non_favorite",MAX_CLOSE,52,20.45,39.33,52,520.0,204.5,39.33,68.0,3,0,1,0,False,['bets<100']
"league|outcome|market_prob_bucket=N1|draw|[0.20,0.28)",AVG_CLOSE,44,14.59,33.16,44,440.0,145.9,33.16,30.1,2,0,1,0,False,['bets<100']
"league|odds_bucket=N1|[4.0,5.0)",B365_CLOSE,21,4.95,23.57,21,210.0,49.5,23.57,40.0,1,0,1,0,False,['bets<100']
"league|odds_bucket|favorite_relation=N1|[4.0,5.0)|market_non_favorite",B365_CLOSE,21,4.95,23.57,21,210.0,49.5,23.57,40.0,1,0,1,0,False,['bets<100']
"league|outcome|odds_bucket=N1|draw|[4.0,5.0)",MAX_OPEN,93,20.61,22.16,93,930.0,206.1,22.16,122.0,7,2,2,0,False,['bets<100']
"league|outcome|odds_bucket=N1|draw|[4.0,5.0)",AVG_OPEN,88,14.89,16.92,88,880.0,148.9,16.92,70.0,7,5,2,1,False,['bets<100']
"league|odds_bucket=N1|[4.0,5.0)",MAX_OPEN,76,12.81,16.86,76,760.0,128.1,16.86,68.0,4,0,1,0,False,['bets<100']
"league|odds_bucket|favorite_relation=N1|[4.0,5.0)|market_non_favorite",MAX_OPEN,76,12.81,16.86,76,760.0,128.1,16.86,68.0,4,0,1,0,False,['bets<100']
"league|outcome|market_prob_bucket=N1|draw|[0.20,0.28)",MAX_CLOSE,159,24.84,15.62,159,1590.0,248.4,15.62,135.8,5,3,1,1,False,['positive_seasons<=negative_seasons']
"league|outcome|odds_bucket=N1|draw|[4.0,5.0)",B365_OPEN,85,12.05,14.18,85,850.0,120.5,14.18,156.4,6,3,1,1,False,"['bets<100', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|market_prob_bucket=N1|draw|[0.20,0.28)",B365_OPEN,105,14.33,13.65,105,1050.0,143.3,13.65,93.0,4,1,1,1,False,['positive_seasons<=negative_seasons']
"league|outcome|market_prob_bucket=N1|draw|[0.20,0.28)",B365_CLOSE,102,10.98,10.76,102,1020.0,109.8,10.76,97.0,4,1,1,1,False,['positive_seasons<=negative_seasons']
"league|outcome|market_prob_bucket=N1|draw|[0.20,0.28)",AVG_OPEN,134,11.96,8.93,134,1340.0,119.6,8.93,80.0,5,1,1,1,False,['positive_seasons<=negative_seasons']
"league|outcome|market_prob_bucket=N1|draw|[0.20,0.28)",MAX_OPEN,77,6.55,8.51,77,770.0,65.5,8.51,116.0,2,2,1,1,False,"['bets<100', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket=N1|[4.0,5.0)",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|odds_bucket|favorite_relation=N1|[4.0,5.0)|market_non_favorite",AVG_OPEN,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|odds_bucket=N1|[4.0,5.0)",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|odds_bucket|favorite_relation=N1|[4.0,5.0)|market_non_favorite",AVG_CLOSE,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons']"
"league|outcome|odds_bucket=N1|draw|[4.0,5.0)",B365_CLOSE,64,-0.59,-0.92,64,640.0,-5.9,-0.92,120.7,3,3,1,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket=N1|[4.0,5.0)",B365_OPEN,30,-4.24,-14.13,30,300.0,-42.4,-14.13,80.0,0,2,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|odds_bucket|favorite_relation=N1|[4.0,5.0)|market_non_favorite",B365_OPEN,30,-4.24,-14.13,30,300.0,-42.4,-14.13,80.0,0,2,0,1,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
"league|outcome|odds_bucket=N1|draw|[4.0,5.0)",AVG_CLOSE,34,-12.17,-35.79,34,340.0,-121.7,-35.79,188.4,0,4,0,3,False,"['bets<100', 'profit<=0', 'roi<3%', 'positive_months<=negative_months', 'positive_seasons<=negative_seasons', 'drawdown>profit']"
